True News,Count,Percentage,Precision,Recall,F1,Accuracy,,,,,,,,,,,,,,,Fake News,Count,Percentage,Precision,Recall,F1,Accuracy,Unknow,Count,Percentage,,,,
0.9859000000000004,64,0.85%,100.00%,1.63%,3.22%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.89%,100.00%,66.57%,49.89%,不确定,0,0.00%,--,--,--,--
0.9858000000000005,65,0.87%,100.00%,1.66%,3.27%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.89%,100.00%,66.57%,49.89%,不确定,0,0.00%,--,--,--,--
0.9857000000000005,65,0.87%,100.00%,1.66%,3.27%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.89%,100.00%,66.57%,49.89%,不确定,0,0.00%,--,--,--,--
0.9856000000000005,65,0.87%,100.00%,1.66%,3.27%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.89%,100.00%,66.57%,49.89%,不确定,0,0.00%,--,--,--,--
0.9855000000000005,65,0.87%,100.00%,1.66%,3.27%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.89%,100.00%,66.57%,49.89%,不确定,0,0.00%,--,--,--,--
0.9854000000000005,65,0.87%,100.00%,1.66%,3.27%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.89%,100.00%,66.57%,49.89%,不确定,0,0.00%,--,--,--,--
0.9853000000000005,65,0.87%,100.00%,1.66%,3.27%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.89%,100.00%,66.57%,49.89%,不确定,0,0.00%,--,--,--,--
0.9852000000000005,65,0.87%,100.00%,1.66%,3.27%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.89%,100.00%,66.57%,49.89%,不确定,0,0.00%,--,--,--,--
0.9851000000000005,66,0.88%,100.00%,1.69%,3.32%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.90%,100.00%,66.58%,49.90%,不确定,0,0.00%,--,--,--,--
0.9850000000000005,66,0.88%,100.00%,1.69%,3.32%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.90%,100.00%,66.58%,49.90%,不确定,0,0.00%,--,--,--,--
0.9849000000000006,66,0.88%,100.00%,1.69%,3.32%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.90%,100.00%,66.58%,49.90%,不确定,0,0.00%,--,--,--,--
0.9848000000000006,66,0.88%,100.00%,1.69%,3.32%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.90%,100.00%,66.58%,49.90%,不确定,0,0.00%,--,--,--,--
