budget_used,budget_raw,seed,train_unique_used,test_rows,acc_argmax,acc_matchprior_inductive,pi_target_true(source0),pi_target_false(source1),calib_T,thr_true_from_train
50,50,46,50,1516,0.6273087071240105,0.7058047493403694,0.5,0.5,1.0,0.5854504406452179
100,100,42,100,1516,0.6807387862796834,0.6932717678100264,0.5,0.5,1.0,0.613754153251648
100,100,43,100,1516,0.6846965699208444,0.7038258575197889,0.5,0.5,1.0,0.5453071296215057
100,100,44,100,1516,0.6312664907651715,0.6484168865435356,0.5,0.5,1.0,0.6073329448699951
100,100,45,100,1516,0.5910290237467019,0.5817941952506597,0.5,0.5,1.0,0.5708485543727875
100,100,46,100,1516,0.6339050131926122,0.7044854881266491,0.5,0.5,1.0,0.5903143882751465
200,200,42,200,1516,0.7143799472295514,0.7473614775725593,0.5,0.5,1.0,0.6812703907489777
200,200,43,200,1516,0.670844327176781,0.7275725593667546,0.5,0.5,1.0,0.6541198790073395
200,200,44,200,1516,0.6213720316622692,0.6273087071240105,0.5,0.5,1.0,0.7227125763893127
200,200,45,200,1516,0.5903693931398417,0.5976253298153035,0.5,0.5,1.0,0.6411930620670319
200,200,46,200,1516,0.6886543535620053,0.7315303430079155,0.5,0.5,1.0,0.6196222901344299
500,500,42,500,1516,0.6866754617414248,0.7242744063324539,0.5,0.5,1.0,0.6618105173110962
500,500,43,500,1516,0.6682058047493403,0.7255936675461742,0.5,0.5,1.0,0.6726950109004974
500,500,44,500,1516,0.6226912928759895,0.6352242744063324,0.5,0.5,1.0,0.6954734325408936
500,500,45,500,1516,0.5989445910290238,0.6055408970976254,0.5,0.5,1.0,0.6692846119403839
500,500,46,500,1516,0.6576517150395779,0.7170184696569921,0.5,0.5,1.0,0.6802464723587036
1000,1000,42,1000,1516,0.6965699208443272,0.7434036939313984,0.5,0.5,1.0,0.6532118916511536
1000,1000,43,1000,1516,0.6774406332453826,0.7236147757255936,0.5,0.5,1.0,0.6369245648384094
1000,1000,44,1000,1516,0.6160949868073878,0.6292875989445911,0.5,0.5,1.0,0.7113138139247894
1000,1000,45,1000,1516,0.587730870712401,0.6094986807387863,0.5,0.5,1.0,0.638444721698761
1000,1000,46,1000,1516,0.6688654353562006,0.7222955145118733,0.5,0.5,1.0,0.6557312607765198
2000,2000,42,2000,1516,0.7071240105540897,0.7420844327176781,0.5,0.5,1.0,0.653290182352066
2000,2000,43,2000,1516,0.6675461741424802,0.7236147757255936,0.5,0.5,1.0,0.6521455347537994
2000,2000,44,2000,1516,0.612796833773087,0.6339050131926122,0.5,0.5,1.0,0.7286003828048706
2000,2000,45,2000,1516,0.6009234828496042,0.6022427440633246,0.5,0.5,1.0,0.6289185881614685
2000,2000,46,2000,1516,0.6893139841688655,0.7275725593667546,0.5,0.5,1.0,0.6300336122512817
4000,4000,42,4000,1516,0.6972295514511874,0.7447229551451188,0.5,0.5,1.0,0.6695440113544464
4000,4000,43,4000,1516,0.6754617414248021,0.7236147757255936,0.5,0.5,1.0,0.6701641380786896
4000,4000,44,4000,1516,0.612796833773087,0.6220316622691293,0.5,0.5,1.0,0.7274449467658997
4000,4000,45,4000,1516,0.5969656992084432,0.6088390501319261,0.5,0.5,1.0,0.6434664726257324
4000,4000,46,4000,1516,0.6873350923482849,0.7216358839050132,0.5,0.5,1.0,0.6404266357421875
5805,-1,42,5805,1516,0.6866754617414248,0.7236147757255936,0.5,0.5,1.0,0.666365385055542
5805,-1,43,5805,1516,0.6695250659630607,0.7282321899736148,0.5,0.5,1.0,0.6736122369766235
5805,-1,44,5805,1516,0.616754617414248,0.6325857519788918,0.5,0.5,1.0,0.7312033176422119
5805,-1,45,5805,1516,0.5850923482849604,0.591688654353562,0.5,0.5,1.0,0.6506221294403076
5805,-1,46,5805,1516,0.6846965699208444,0.7236147757255936,0.5,0.5,1.0,0.6474612951278687
